CID,TeamID,FName,LName,College,Age,Experience,OffPhil,DefPhil,LoyaltyPlayers,LoyaltyCoaches,Ego,OffAbility,DefAbility,STAbility,DevPlayers,JudgingAct,JudgingPot,JudgingQB,JudgingRB,JudgingRec,JudgingOL,JudgingDL,JudgingLB,JudgingCB,JudgingSF,Accountability,Motivating,TimeMgmt,Clutch,Conservative,FBInt,Adjustments,ValuesST,ValuesCharacter,WorkEthic,Preparation,Focus,PlaycallingSkill
275,19,GEORGE,THOMPSON,Mississippi,47,4,SpreadRun,Cover2Attack,60,38,44,66,51,39,37,61,29,43,91,51,63,38,52,62,58,47,94,71,57,64,55,44,50,49,6,42,38,25
276,20,HECTOR,BRADFORD,Iowa,67,21,WCBal,4-3StuffRun,46,59,48,60,58,55,41,30,46,75,33,50,31,64,45,46,19,39,61,71,62,55,65,42,64,35,59,61,45,71
277,21,DEXTER,MCCALL,Nebraska,64,2,Smashmouth,3-4Attack,54,55,45,28,33,37,67,18,47,41,29,67,52,56,41,52,51,55,59,59,17,52,51,52,55,52,45,63,31,37
278,22,THOMAS,STEC,Minnesota,60,17,WCPass,4-3StuffRun,59,26,27,44,49,68,84,42,70,63,72,66,60,52,34,68,61,34,43,66,66,39,35,63,24,61,42,41,50,55
279,23,JOHN,MCELRATH,North Dakota,36,4,WCPass,4-3Attack,72,39,79,21,72,69,81,28,24,52,61,42,72,67,69,59,29,52,37,27,61,35,63,50,57,46,59,51,60,65
280,24,JESSIE,JOLLEY,Virginia,33,1,Run-N-Shoot,4-3StuffRun,24,42,27,66,71,33,60,36,43,72,80,55,46,52,70,72,78,53,25,48,13,70,22,42,43,53,53,52,85,67
281,25,THOMAS,KINNEY,North Carolina State,50,10,SpreadBal,4-3Bal,67,48,55,56,22,52,64,9,35,58,63,61,61,21,50,71,50,51,64,50,51,52,47,12,36,64,50,72,65,29
282,26,PATRICK,BURKS,Notre Dame,61,23,BalPass,Cover2Attack,54,31,35,23,60,60,54,41,64,65,30,60,68,28,45,47,48,52,53,59,50,33,72,47,65,30,41,54,41,43
283,27,KEVIN,STEVENSON,Oklahoma,52,14,WCPass,3-4Attack,70,44,40,22,30,51,71,64,24,35,42,65,83,56,69,52,27,63,41,55,31,50,26,43,45,41,54,24,63,81
284,28,MARSHALL,WILLEMS,Colorado,34,2,WCPass,Cover2Bal,61,84,39,75,59,68,33,28,69,38,66,58,43,38,62,11,66,59,21,20,48,33,61,36,60,58,15,64,52,65
285,29,ANDRES,HICKS,Eastern Michigan,42,10,VertPass,4-3Bal,65,62,42,66,50,22,30,65,33,56,54,55,41,40,35,53,35,50,75,56,50,23,43,40,49,61,61,41,48,55
286,30,RICHARD,SLADE,Cincinnati,44,10,WCBal,4-3Bal,19,40,45,77,52,56,53,49,72,23,40,27,46,32,48,52,54,51,41,28,31,77,63,31,29,47,57,28,36,41
287,31,JACK,JOYNER,Indiana,40,8,BalPass,4-3StuffRun,20,46,37,57,58,58,47,49,64,56,55,25,67,44,48,53,15,33,50,22,43,58,66,56,44,38,73,34,41,52
288,32,CHARLES,BRIGHT,Virginia,39,7,WCBal,4-3Cover,26,25,39,80,42,59,55,34,36,46,40,72,68,51,30,32,50,8,21,23,36,57,76,24,40,8,32,59,55,35
289,1,JAMES,KING,California-Davis,69,36,WCRun,4-3Attack,39,27,47,78,27,48,35,74,30,42,42,49,60,71,76,42,39,76,36,27,51,25,58,42,61,32,71,60,51,30
290,2,PAUL,BOWIE,Arizona State,37,4,WCRun,4-3Bal,41,34,13,59,61,41,71,80,56,64,49,53,45,78,41,48,45,36,63,58,36,27,61,17,36,41,48,35,66,66
291,3,STEVEN,KIM,Sonoma State,42,4,SpreadRun,3-4Cover,42,44,49,44,58,58,62,64,64,61,37,56,36,19,57,85,58,71,33,69,67,39,64,26,53,58,34,58,45,45
292,4,EDWIN,JACKSON,Idaho,51,18,WCBal,Cover2Attack,63,56,34,57,34,34,58,47,54,51,30,51,52,36,61,40,48,71,71,45,58,19,74,46,40,33,26,51,63,76
293,5,JOEY,SHINDORF,Coastal Carolina,33,1,SpreadRun,3-4StuffRun,90,46,96,60,49,33,36,35,53,60,27,56,37,24,72,62,51,58,55,20,47,41,26,50,23,54,38,63,38,21
294,6,FRANCISCO,COLLINS,Eastern Michigan,50,6,BalPass,Cover2Cover,37,64,49,47,44,48,36,79,33,63,49,53,61,45,41,35,53,61,75,18,34,63,26,57,58,81,79,32,61,74
295,7,RICARDO,YANEZ,Ohio State,42,8,WCRun,4-3Attack,42,66,31,30,40,70,59,46,50,62,34,14,61,42,63,53,33,73,47,42,33,108,34,20,32,34,33,41,70,40
296,8,VERNON,CURB,UCLA,65,19,WCRun,4-3Cover,27,58,52,48,48,40,1,34,47,65,70,43,38,73,70,38,53,65,69,23,59,49,77,51,63,52,50,76,53,71
297,9,PAUL,BECKMAN,Northern Iowa,33,1,BalRun,3-4Cover,38,36,38,53,46,23,43,52,50,53,51,74,53,30,46,68,34,34,37,64,37,43,34,13,75,74,69,62,60,56
298,10,JIMMY,COLLINSON,Tulane,48,16,WCBal,4-3Attack,47,25,45,52,43,27,60,36,39,59,42,41,38,44,48,54,54,81,62,46,29,65,36,31,70,38,51,27,22,47
299,11,JONATHAN,DUERKSON,Clemson,51,11,SpreadPass,4-3Bal,61,4,58,46,35,36,44,32,69,51,45,44,69,65,87,49,58,62,28,28,42,17,66,48,66,46,51,46,22,49
300,12,BRUCE,POWELL,Michigan,65,14,BalRun,4-3Attack,51,28,17,37,51,48,22,24,39,42,40,13,50,71,55,53,41,51,52,36,53,52,25,69,34,57,72,30,62,63
301,13,NICHOLAS,WILSON,Oregon,37,4,WCRun,3-4Attack,77,28,45,83,32,55,27,41,56,39,44,62,42,63,76,54,35,43,65,62,66,45,26,52,52,35,48,52,40,33
302,14,EARL,WRIGHT,Arkansas,58,19,VertPass,4-3Bal,41,57,69,40,30,31,49,53,52,49,50,54,67,60,66,45,43,18,59,65,42,31,42,56,40,50,68,35,54,56
303,15,RONALD,BISHOP,Carson-Newman,68,2,BalRun,4-3Bal,59,25,60,35,59,66,32,64,65,48,26,66,62,40,79,58,37,48,50,45,69,39,58,56,41,32,64,60,55,65
304,16,DAVID,PERSAD,Clemson,37,1,WCRun,4-3StuffRun,58,65,58,53,43,22,37,60,44,32,18,79,53,64,48,66,27,51,61,58,44,58,58,49,47,57,50,55,26,34
305,17,DALE,HEFLIN,California-Davis,36,3,SpreadBal,3-4StuffRun,30,29,32,22,38,54,60,26,42,93,39,81,20,44,42,20,63,43,39,50,31,5,52,60,9,52,12,45,20,16
306,18,RAYMOND,LIND,Florida State,38,3,WCBal,4-3Cover,49,55,29,62,32,52,43,55,49,49,52,48,25,27,73,11,39,21,58,55,43,41,71,48,22,40,30,75,57,49
307,19,GRADY,ALLEN,Virginia Tech,39,5,WCPass,4-3Bal,60,64,47,37,27,80,27,41,29,45,21,31,65,70,36,57,30,71,54,63,23,81,47,52,76,67,51,53,52,47
308,20,JOSEPH,QUINN,Alabama A&M,33,1,BalPass,4-3StuffRun,37,48,43,64,31,23,32,67,39,53,57,74,47,52,77,50,25,22,24,50,23,29,32,25,64,46,34,83,27,45
309,21,DONALD,VAZQUEZ,Stanford,39,7,Run-N-Shoot,4-3Cover,32,66,46,14,72,60,62,98,65,15,10,39,51,17,48,20,40,56,73,61,50,40,41,100,48,45,75,52,55,28
310,22,SAMUEL,SMITH,Tulane,40,5,SpreadBal,4-3Attack,44,78,60,11,31,37,23,60,35,53,38,61,70,43,38,34,65,43,63,66,39,50,62,63,65,14,21,46,37,26
311,23,PAUL,SMITH,Brigham Young,51,8,WCRun,4-3StuffRun,35,78,55,28,55,38,50,40,21,58,44,53,31,56,53,28,58,36,28,59,47,69,67,50,13,41,27,41,39,43
312,24,ARTHUR,CHREENE,South Carolina State,44,10,VertPass,3-4StuffRun,33,55,73,63,41,39,74,55,61,33,40,54,26,56,58,72,55,65,71,73,42,41,62,45,64,53,66,14,50,50
313,25,THOMAS,SUTTERFIELD,Toledo,46,14,WCPass,4-3Cover,56,49,41,65,51,47,26,31,97,25,68,55,38,40,38,59,74,47,57,66,47,47,22,73,43,16,42,47,51,46
314,26,STEVEN,HARTMAN,Delaware,36,3,Smashmouth,4-3Cover,51,55,43,23,28,69,47,50,63,42,89,82,41,58,46,54,69,62,55,18,17,44,35,56,51,72,50,55,64,59
315,27,JACK,HELTON,Florida State,48,12,BalRun,4-3Bal,44,15,30,51,55,31,40,41,45,39,42,49,45,46,58,50,52,32,56,28,60,67,40,50,60,61,57,81,43,60
316,28,GORDON,SANDS,Florida,42,10,WCRun,Cover2Bal,47,18,41,32,28,41,66,34,44,73,54,46,43,41,69,49,36,48,71,55,53,41,52,45,46,80,73,21,56,65
317,29,JOHN,HORNAK,LSU,59,26,SpreadRun,4-3Cover,49,56,45,45,72,51,77,55,23,31,30,61,36,46,84,62,50,61,52,36,44,62,88,47,24,54,21,44,56,59
318,30,DAVE,SHAIN,Maine,48,9,Smashmouth,4-3Bal,58,43,25,53,51,37,51,68,61,61,70,58,52,53,72,50,23,77,52,59,34,53,12,14,55,58,55,99,44,48
319,31,JOSEPH,BUSH,Delaware,44,5,BalRun,46,48,60,73,60,66,59,51,52,52,51,44,65,88,83,33,51,66,41,65,68,44,7,50,58,34,63,31,50,51,65
320,32,GEORGE,GARCIA,USC,53,9,BalPass,3-4Attack,45,35,55,29,53,25,91,60,38,59,63,27,38,31,67,53,69,40,54,54,35,68,74,66,63,45,35,69,35,65
321,1,ROLAND,HERR,Minnesota,39,0,BalPass,3-4StuffRun,60,45,53,54,54,80,38,29,51,41,80,56,39,42,69,68,74,61,46,48,42,63,8,67,41,62,31,105,46,71
322,2,CHARLES,BANKS,Duke,65,3,WCPass,4-3Cover,31,47,64,45,32,56,60,17,54,41,36,72,27,55,45,85,43,41,41,44,41,44,38,76,65,33,46,57,33,45
323,3,MANUEL,CHIVERS,UCLA,38,5,WCRun,4-3Cover,69,31,22,47,41,21,60,27,81,27,44,72,36,43,49,56,32,52,64,59,44,57,68,53,44,27,28,43,42,47
324,4,HUGH,COONEY,Marshall,35,3,WCBal,4-3Cover,53,26,53,40,100,54,47,66,26,45,80,59,25,85,39,35,45,76,72,37,32,42,70,10,50,35,60,47,85,48
325,5,GARRY,HOUSTON,North Carolina,62,10,BalPass,4-3Bal,34,33,42,31,51,69,34,55,46,52,68,63,24,57,21,57,63,50,46,32,60,58,58,58,49,34,32,15,70,37
326,6,DENNIS,WEBSTER,North Texas,46,11,WCPass,4-3Bal,58,46,28,40,32,23,56,48,70,39,86,44,80,10,37,70,41,65,23,59,25,70,33,65,26,36,53,56,47,11
327,7,JUAN,HOWLAND,Troy,51,10,BalPass,4-3StuffRun,55,59,72,22,35,59,80,30,10,32,47,47,58,64,47,68,67,64,64,63,53,64,63,22,33,33,76,68,35,56
328,8,JOHN,WHITE,Indiana,58,19,BalRun,4-3Bal,36,73,47,67,46,40,48,65,54,84,56,27,69,54,50,35,29,23,70,67,33,38,29,58,34,50,57,98,63,73
329,9,ALEXANDER,OYLER,Virginia Tech,41,1,Smashmouth,3-4Bal,33,53,44,49,51,32,64,20,41,41,49,16,92,56,54,70,52,37,56,76,53,60,53,49,15,12,72,50,58,50
330,10,JAMES,LAYMAN,Miami(FL),56,9,SpreadBal,3-4Attack,74,79,3,44,82,69,69,30,66,43,77,54,50,13,63,40,38,31,53,64,73,44,55,62,59,62,60,35,67,2
331,11,JESSE,BROUSSARD,San Diego State,57,7,SpreadRun,4-3Bal,51,48,29,65,48,57,43,46,66,51,18,58,24,72,23,53,38,39,32,46,56,62,58,46,62,38,17,57,42,47
332,12,KEVIN,GUESS,Louisville,70,34,BalPass,4-3Bal,59,63,55,42,37,58,43,35,17,75,49,10,32,45,42,91,59,66,24,18,22,46,36,42,34,63,40,49,61,72
333,13,JAMES,SAVILLE,Boise State,47,15,WCBal,3-4StuffRun,33,50,40,31,48,47,50,31,73,69,60,29,57,62,65,24,54,46,41,67,60,26,39,43,59,40,57,49,41,18
334,14,DONALD,LEWIS,Iowa,55,2,SpreadRun,3-4Cover,22,55,68,15,27,54,47,65,58,33,41,56,84,24,64,55,74,100,44,46,62,12,77,30,62,31,39,55,37,52
335,15,CARL,MARTIN,TCU,69,34,WCRun,Cover2Bal,42,81,37,27,50,57,1,55,23,39,50,54,47,31,56,52,50,51,55,30,44,33,51,44,55,55,51,44,71,63
336,16,JUAN,RICE,Southern Arkansas,63,30,SpreadBal,4-3Bal,69,48,58,40,78,73,61,60,43,28,69,61,61,68,44,75,31,56,21,85,52,52,41,60,54,23,58,55,52,30
337,17,CRAIG,HAREWOOD,Marshall,66,34,BalRun,4-3Bal,84,50,76,49,25,23,86,48,35,79,65,47,49,56,33,40,28,47,50,23,12,32,40,19,43,19,40,50,39,58
338,18,JAMES,THOMAS,Virginia Tech,47,10,SpreadRun,4-3Attack,50,54,62,64,29,56,36,104,55,49,56,34,42,78,43,44,30,51,44,34,73,48,69,55,64,34,56,43,62,37
339,19,JASON,MILLER,USC,67,3,WCBal,3-4StuffRun,39,49,39,35,60,16,33,47,50,68,43,42,52,31,33,47,72,45,27,59,56,55,60,28,57,46,38,24,46,68
340,20,DENNIS,BRINDLEY,Notre Dame,70,27,BalPass,4-3Cover,56,45,33,58,54,6,60,59,82,71,46,49,46,42,39,53,33,42,40,81,57,32,56,54,23,65,54,43,98,42
341,21,BILLY,OCHOA,Ohio State,42,10,SpreadRun,3-4Cover,54,64,55,29,53,48,38,64,43,40,46,36,41,54,51,37,42,61,65,53,90,30,83,68,46,61,55,43,53,34
342,22,GEORGE,FOSTER,Penn State,55,3,SpreadRun,3-4Bal,67,49,35,27,61,56,35,58,37,50,25,61,31,63,33,47,45,67,64,41,47,45,36,40,38,37,62,48,50,45
343,23,WILLIE,BEATY,New Mexico,34,2,SpreadRun,4-3Cover,58,53,51,10,69,43,44,67,30,32,65,78,43,69,16,30,92,61,52,55,71,65,15,40,48,24,89,39,46,17
344,24,THOMAS,WALKER,Fresno State,65,11,SpreadRun,4-3StuffRun,62,83,37,54,47,55,29,60,29,60,37,21,53,40,32,34,53,42,69,74,67,43,61,44,30,62,38,27,45,45
345,25,GREG,SCOTT,Texas A&M,67,31,Run-N-Shoot,3-4StuffRun,43,47,60,42,54,43,67,80,45,56,45,42,51,71,54,53,61,37,39,66,56,64,81,61,81,36,64,57,42,51
346,26,CURTIS,RICKER,Indiana(PA),67,5,SpreadBal,3-4Cover,48,49,49,28,70,59,41,41,33,44,37,59,40,42,44,76,54,18,44,53,56,60,61,53,51,40,20,44,35,21
347,27,HUGH,MCMURRAY,Georgia Tech,33,0,WCRun,4-3StuffRun,53,48,56,69,75,40,58,63,58,85,74,67,36,60,56,56,48,31,25,40,42,48,58,77,39,34,86,55,50,65
348,28,CHARLES,ODONNELL,North Carolina,60,22,SpreadBal,4-3Attack,41,38,52,42,68,79,61,39,45,56,46,76,53,49,62,59,37,31,16,64,39,46,56,68,55,52,81,73,43,50
349,29,STEVEN,JOHNSON,Princeton,48,11,WCBal,4-3Attack,60,81,48,56,33,58,60,69,47,49,45,45,48,13,63,77,24,35,93,72,57,60,49,30,62,51,35,66,78,30
350,30,BARRY,HENDERSON,Hampton,47,1,WCPass,Cover2Cover,72,75,47,53,51,57,41,24,55,47,44,34,26,87,70,71,64,77,14,47,39,53,34,44,28,29,48,59,77,68
351,31,ANTHONY,POWELL,Texas Tech,40,2,SpreadRun,4-3Cover,76,74,42,60,55,51,26,49,47,65,59,52,54,75,54,77,44,25,36,38,59,59,35,21,65,43,24,47,55,45
352,32,JAMES,ROBERTSON,Penn State,34,1,VertPass,4-3Bal,44,58,65,31,43,49,73,31,47,75,54,27,77,48,60,36,78,21,43,75,34,90,37,39,75,30,48,66,36,41
353,1,SCOTT,DINSMORE,Grambling State,51,5,WCRun,4-3Attack,60,25,61,76,56,83,42,65,46,62,66,71,43,34,61,63,47,40,37,62,42,44,52,46,48,23,35,27,36,49
354,2,JAMES,SMILEY,Wisconsin,33,0,WCRun,Cover2Bal,48,35,56,41,51,45,43,58,72,41,48,87,53,75,81,55,31,45,37,62,96,52,76,60,39,25,23,64,66,54
355,3,ROBERT,CLANKSCALES,Michigan,64,28,SpreadPass,Cover2Attack,70,89,86,50,49,47,54,61,35,68,65,58,66,39,58,47,41,31,44,42,27,60,51,61,36,69,66,41,45,59
356,4,GEORGE,SPURLOCK,Central Michigan,47,0,Smashmouth,Cover2Cover,21,49,47,49,49,49,46,44,57,16,35,46,46,65,31,38,52,58,65,54,40,32,68,65,50,78,23,46,57,48
357,5,EMIL,GOMEZ,Hawaii,32,0,Smashmouth,3-4StuffRun,89,49,44,41,39,32,57,32,41,45,46,62,64,43,44,62,50,32,54,49,77,63,48,48,44,39,34,55,62,44
358,6,TYRONE,CHAVEZ,Tennessee,70,38,WCBal,3-4Bal,68,27,52,22,49,33,22,18,89,42,37,36,56,65,39,19,81,32,81,74,62,35,11,35,42,58,57,65,33,48
359,7,BILLY,STEPRO,Brigham Young,49,6,BalPass,4-3StuffRun,91,29,19,46,44,79,46,52,33,24,44,43,53,58,56,61,52,56,70,66,68,56,42,36,34,36,38,28,57,60
360,8,DARNELL,PAGE,North Carolina State,66,31,SpreadPass,4-3Bal,49,53,67,55,43,43,54,73,56,10,23,52,53,24,33,58,53,47,82,48,70,51,34,40,76,28,59,27,63,57
361,9,CECIL,MCDANIEL,Illinois,69,9,WCPass,Cover2Cover,54,28,24,38,33,63,31,47,20,60,77,68,61,55,77,30,64,66,81,17,58,40,36,46,-5,44,44,85,39,67
362,10,LYLE,TOBIN,Ohio State,58,17,Run-N-Shoot,Cover2Cover,55,43,59,52,38,55,42,36,58,44,38,37,49,32,47,50,38,65,44,78,54,62,79,31,72,60,36,29,55,39
363,11,JOSHUA,SMITH,Howard,63,1,WCRun,Cover2Cover,40,72,70,65,37,-6,65,57,77,51,33,57,66,32,25,74,20,30,35,44,52,58,58,49,52,63,43,71,57,60
364,12,SAM,HARDIN,Nebraska,35,0,Smashmouth,4-3StuffRun,53,73,87,33,16,71,43,53,73,40,33,55,50,60,24,65,74,46,42,85,25,44,28,20,42,33,39,33,67,81
365,13,STEVE,FAGAN,Kansas State,49,1,BalRun,3-4Attack,59,38,35,78,25,58,62,61,54,27,26,58,57,37,67,43,33,65,44,44,81,34,29,40,77,61,25,48,40,50
366,14,DOUGLAS,BENITEZ,Southern Miss,60,22,Smashmouth,4-3StuffRun,67,61,45,41,29,46,53,1,59,47,57,33,53,47,32,36,55,72,75,32,60,43,59,41,56,31,45,60,57,51
367,15,WAYNE,LIND,John Carroll,51,17,SpreadRun,4-3Cover,28,54,57,51,20,18,64,36,53,42,74,67,16,32,33,53,62,86,43,54,27,22,22,70,38,22,71,49,23,77
368,16,SCOTT,ULATOWSKI,Mississippi State,61,6,SpreadPass,4-3Bal,42,48,35,52,32,53,36,37,32,67,45,87,36,75,46,35,65,50,44,58,52,67,58,65,56,26,81,24,104,47
369,17,CHARLES,MALLARD,Texas A&M,33,1,SpreadPass,3-4Attack,29,71,64,36,36,53,33,72,66,53,53,50,41,23,67,51,12,78,30,67,28,85,68,40,40,56,25,33,60,71
370,18,NATHAN,SIMMONS,Wisconsin,65,2,VertPass,Cover2Cover,67,48,60,60,70,25,94,64,35,49,33,22,49,69,38,56,58,36,60,35,38,63,63,72,51,31,64,66,55,17
371,19,JAMES,FLETCHER,Notre Dame,39,3,BalPass,4-3Cover,70,41,60,68,30,61,42,62,52,44,48,17,68,67,51,69,49,36,65,7,28,32,53,59,40,62,25,59,43,41
372,20,LEWIS,XIONG,South Florida,36,3,SpreadPass,4-3Attack,26,72,56,57,24,41,75,13,67,73,34,72,46,18,67,78,91,65,46,20,38,45,69,44,39,57,31,84,24,25
373,21,WILLIAM,LEONARD,Washington State,55,17,Smashmouth,4-3Bal,26,59,50,66,52,47,88,56,46,38,57,58,44,42,45,12,37,72,55,67,49,35,51,75,46,66,39,28,49,46
374,22,GREG,BOYTE,USC,62,24,BalPass,3-4Bal,70,49,25,61,67,37,48,52,34,64,62,57,62,38,52,53,63,57,56,60,40,52,78,59,47,16,15,28,55,58
375,23,STEVEN,MARQUEZ,Michigan State,36,1,SpreadPass,Cover2Attack,64,59,63,25,57,37,55,49,36,74,49,72,58,35,69,62,39,25,41,56,40,59,71,50,50,28,32,67,73,37
376,24,BRAD,BATES,Texas,46,6,WCPass,3-4Bal,35,58,30,47,49,44,33,35,57,79,63,36,46,65,70,47,73,59,42,66,42,53,52,63,42,43,43,49,21,63
377,25,DANIEL,ROCK,California-Davis,63,17,Smashmouth,4-3Attack,57,36,27,84,38,44,17,58,39,34,67,50,49,58,36,59,55,53,64,52,46,103,79,56,70,81,50,58,51,67
378,26,KEVIN,EITNIEAR,Western Oregon,33,1,WCBal,Cover2Attack,34,37,47,69,66,38,46,23,70,43,47,50,68,72,42,49,42,45,20,27,67,58,63,25,84,43,84,35,68,70
379,27,BRUCE,WALKER,North Carolina A&T,57,19,SpreadPass,3-4Bal,54,48,24,41,62,52,46,59,33,47,21,40,30,65,33,32,38,10,42,39,50,51,52,25,48,24,21,76,30,31
380,28,VAL,LOVELY,Texas,47,3,WCRun,3-4StuffRun,46,72,48,37,83,54,54,80,55,55,36,57,48,42,60,38,67,65,35,35,34,70,45,82,47,33,60,38,50,35
381,29,LLOYD,BUSH,Eastern Washington,43,2,SpreadBal,4-3Attack,91,73,17,55,19,68,18,40,46,40,50,68,51,46,70,41,60,54,65,83,22,41,42,94,58,67,42,28,43,50
382,30,CHRISTOPHER,LAURITZEN,Carroll(MT),57,0,BalPass,Cover2Bal,70,65,64,26,72,47,53,54,80,93,31,55,51,44,41,40,35,53,38,50,4,44,44,68,55,69,65,2,68,61
383,31,GERALD,FERNANDEZ,UCF,66,25,SpreadRun,4-3Cover,71,27,41,69,58,37,25,40,30,70,43,58,18,63,63,35,23,42,39,21,42,58,13,68,42,19,40,36,65,25
384,32,JONATHAN,SOMMERFIELD,Nebraska,70,23,Smashmouth,4-3Bal,5,52,52,41,23,42,14,70,33,40,46,71,74,21,48,72,39,76,51,97,53,57,34,56,48,41,55,24,29,56
385,0,BERNARD,SITZES,Illinois,70,8,WCRun,3-4Cover,69,50,65,42,41,53,62,55,54,58,42,42,81,96,65,41,56,64,39,56,56,28,38,59,42,79,51,64,54,58
386,0,CORNELIUS,REID,TCU,54,5,BalPass,Cover2Bal,47,58,42,52,63,62,41,22,47,56,50,57,43,71,46,69,69,74,41,40,55,41,54,92,30,24,36,45,53,29
387,0,CHRISTOPHER,DUMAIS,TCU,50,9,WCRun,4-3Bal,50,69,28,69,58,40,49,55,42,43,38,48,61,40,49,53,59,40,58,100,39,24,23,64,46,56,44,58,48,34
388,0,ADAM,BAILEY,Washington,35,3,BalRun,4-3Cover,64,53,34,59,30,38,65,58,20,43,68,18,41,62,65,38,58,59,25,53,56,52,45,61,78,43,67,47,49,28
389,0,DAVID,SPENCER,Arkansas-Pine Bluff,33,1,BalPass,4-3StuffRun,85,59,53,66,50,39,49,56,11,30,72,32,45,58,21,58,36,62,55,53,57,69,47,13,86,61,81,32,40,53
390,0,GERARD,AGUIRRE,Nebraska,46,7,WCPass,4-3Attack,47,6,70,25,21,63,79,25,43,29,64,75,31,44,26,46,71,23,48,54,41,58,50,75,63,52,67,45,61,73
391,0,LEO,HERRING,Illinois State,52,15,BalRun,3-4Cover,61,38,62,67,44,52,61,64,17,50,43,68,46,67,55,68,47,63,50,51,52,45,59,44,49,33,59,43,58,76
392,0,GUY,BELL,Maryland,69,15,WCBal,Cover2Bal,42,66,76,45,69,68,55,56,22,56,50,40,44,39,57,42,55,35,41,36,76,69,58,57,49,66,57,67,23,59
393,0,JOSEPH,MORDINO,South Dakota,59,10,BalPass,4-3StuffRun,27,66,82,36,67,48,77,66,74,36,54,46,49,30,53,36,55,65,40,34,68,76,35,35,50,72,27,2,61,63
394,0,HARRY,HARTZELL,Marshall,46,5,SpreadBal,4-3StuffRun,34,60,36,37,62,74,64,62,81,50,61,52,56,30,31,62,46,66,50,31,47,25,50,47,54,43,32,29,66,60
395,0,SEAN,ALLEN,Louisville,56,18,BalRun,4-3Cover,29,61,-12,46,32,12,16,27,12,70,51,61,43,50,39,22,49,36,47,21,24,78,68,32,23,67,53,72,52,58
396,0,JAMES,CRAWFORD,Utah,53,21,SpreadBal,4-3StuffRun,37,55,57,72,24,60,33,74,40,38,41,61,44,60,30,42,45,70,75,33,55,55,11,79,42,56,104,54,38,75
397,0,ROBERT,DELP,Washington State,46,4,WCRun,4-3Bal,41,51,43,64,60,46,50,72,49,84,37,72,63,86,59,59,36,50,69,86,49,31,39,62,79,54,57,44,65,51
398,0,JOSE,SUTER,Hampton,57,6,Run-N-Shoot,3-4Attack,64,48,36,34,60,43,66,87,55,48,47,54,55,24,52,12,59,45,57,56,49,35,40,38,19,57,53,52,38,46
399,0,DALE,AUPPERLE,Fresno State,57,7,SpreadRun,4-3StuffRun,55,57,34,68,55,43,32,22,29,59,29,67,61,52,67,33,74,57,62,52,33,21,52,18,58,38,72,65,49,23
400,0,RYAN,SPEAKMAN,Nevada,40,4,SpreadBal,Cover2Cover,52,48,44,48,43,37,49,66,58,74,31,29,37,12,40,39,39,24,53,69,60,23,80,42,80,58,53,53,21,74
401,0,SIMON,REID,South Carolina,67,12,WCBal,4-3Attack,40,30,70,60,37,30,47,62,37,64,58,46,34,23,57,60,53,40,49,32,55,64,40,50,44,109,66,41,58,23
402,0,ERNEST,OLEARY,Oklahoma,34,1,VertPass,3-4Attack,41,23,64,73,68,58,42,44,37,60,31,40,71,46,56,59,106,67,32,72,56,67,64,61,20,50,56,31,57,62
403,0,BRIAN,LIND,Georgia,68,16,BalPass,4-3Cover,27,39,51,76,57,68,37,37,45,42,47,30,60,48,35,35,35,71,53,55,83,68,49,33,65,70,46,57,61,55
404,0,JEFFERY,GARDENER,USC,58,15,WCPass,4-3StuffRun,45,22,69,55,56,49,107,46,59,58,68,51,70,60,31,63,78,66,56,33,56,89,63,56,73,50,47,49,50,47
405,0,DOUGLAS,VANBLARICUM,Penn State,62,16,BalPass,4-3StuffRun,37,31,59,32,47,52,36,43,70,50,25,55,69,63,32,32,54,44,42,66,58,59,58,44,37,65,56,56,62,49
406,0,ANDY,POLK,Shippensburg,51,15,SpreadBal,3-4Bal,64,75,66,14,52,34,40,59,30,35,47,35,67,41,54,61,60,51,41,42,2,44,26,61,36,66,57,70,32,78
407,0,PAUL,MARTIN,North Carolina,36,3,WCRun,Cover2Attack,62,56,48,55,65,35,27,60,46,45,80,40,37,32,46,58,86,13,69,29,48,67,53,36,62,57,26,53,40,54
408,0,MATTHEW,EBERT,South Carolina,62,1,VertPass,Cover2Cover,62,64,58,55,48,65,48,36,71,63,62,41,57,20,35,44,47,46,34,41,43,23,62,57,79,58,66,60,57,88
409,0,ARTURO,IBARRA,Stanford,32,0,WCRun,3-4Attack,53,67,60,28,53,47,36,22,39,15,25,53,40,37,48,66,51,48,54,56,51,49,55,42,38,56,63,51,64,73
410,0,THOMAS,HAKE,Brigham Young,47,15,WCPass,4-3StuffRun,25,15,42,46,16,66,39,52,28,20,59,51,52,54,3,62,35,57,62,27,61,55,71,63,76,59,59,68,36,48
411,0,CHARLES,HINTON,Kent State,39,6,SpreadRun,Cover2Cover,43,40,66,44,56,40,74,62,20,44,56,57,80,26,71,64,47,55,57,65,37,53,51,37,68,48,38,67,52,51
412,0,LESLIE,REESE,Notre Dame,49,11,BalRun,4-3Cover,44,25,22,56,77,37,56,51,63,39,49,61,31,45,28,59,58,37,27,63,50,47,28,63,21,31,79,39,29,70
